language_code,id,name,meaning,popularity_rank
en,40e87ed0-7099-594f-8eb1-3022d957106c,Beatriz,She who brings happiness; blessed,1
en,3c1181e3-95a4-56a8-a00b-6e63436ebe72,Beatriz,She who brings happiness; blessed,1
en,6a27e1b1-a40d-59f0-90f6-044a8350b0b3,Emilia,Industrious; eager; rival,1
en,0255770a-a91d-5247-99f4-8ca6445cbd5b,Emma,Whole; universal; all-embracing,1
en,4f668d55-71bd-5b56-b1a0-63427f44fb2f,Gabriel,God is my strength,1
en,8d03ae84-36af-5e2c-984b-4b7d98c23478,Gabriel,God is my strength,1
en,67ce0f17-b2c4-5651-9b8c-7e5b6af6874e,Gabriel,God is my strength,1
en,58902488-248c-5604-9c5b-0683bbb3355b,Hugo,Mind; intellect; spirit,1
en,c45089c8-8efb-5864-86d5-547c97693c91,Jade,Precious green stone; side stone,1
en,3e79bf6d-322a-5564-91bd-768c247134d5,Jade,Precious green stone; side stone,1
en,f4e1c8bf-516e-5c64-be7a-b44546be9f8b,Jade,Precious green stone; side stone,1
en,6c233a87-a5cd-5ffb-bf25-e759871a3b4c,Léo,Lion; brave,1
en,412eff94-ccb9-5849-aa6f-526fbe17b777,Leonardo,Brave lion; strong as a lion,1
en,520b0c62-e020-5ed6-a014-1f769b9f7bcc,Louise,Famous warrior; renowned fighter,1
en,223d6a31-5ca2-586c-8740-e68cc5282db3,Lucia,Light; graceful light,1
en,6d2ca559-5803-5b16-b696-85e8fec81920,Noah,Rest; comfort,1
en,bf655c91-d6d3-57b7-b209-95a0941f8025,Noah,Rest; comfort,1
en,ca4a7cae-8258-5e61-83a9-d66525209c98,Pedro,Rock; stone,1
en,303ddbfd-b99d-5ccd-9c1e-59f403278876,Pedro,Rock; stone,1
en,c3983e78-4096-5abd-88f1-badf79afc7d6,Sofia,Wisdom; wise one,1
en,e0da5ca9-3fe8-5711-9c10-140ae4e7491c,Ambre,Amber; precious jewel,2
en,aeff0c07-96d6-5c49-9ee0-77be418f935b,Aurora,Dawn; goddess of the morning,2
en,bb204081-6110-5349-a460-96d359020685,Edoardo,Wealthy guardian; rich protector,2
en,c4600cee-debc-5025-a76a-17996cfdf986,Gabriel,God is my strength,2
en,1da22299-e363-58ce-8207-7597a8d532fd,Joana,God is gracious,2
en,95f10a6c-a17d-5620-b507-13f953b29040,Joana,God is gracious,2
en,ceaf9a3c-f877-5772-b7c2-dd6ebcd5c705,Léo,Lion; brave,2
en,b5c0a0c8-d206-50c6-81ac-ecc6d7b7e151,Léo,Lion; brave,2
en,f936d44a-f33f-545f-a5a3-98ad9295f3c8,Louise,Famous warrior; renowned fighter,2
en,03c2f638-0f4f-5f40-af4b-7f8ae2818e6f,Louise,Famous warrior; renowned fighter,2
en,64fdb86a-892c-53d7-b968-6d648380fc41,Louise,Famous warrior; renowned fighter,2
en,8b7ecf2b-ee84-5a34-8126-fc30d67222b8,Luca,Bringer of light; from Lucania,2
en,8ffb6a10-6353-5f14-8a7d-73955d902339,Mateo,Gift of God,2
en,65cdc9bd-cd0d-5bfc-afcb-611c73d22602,Matteo,Gift of God,2
en,7fd5c56d-4df3-5fdc-a057-1de546879932,Olivia,Olive tree; peace; symbol of peace,2
en,8ac168d2-8685-5b23-b418-2d2b02c877d2,RAPHAËL,God has healed; divine healer,2
en,c9dd1760-cc49-5be2-af2f-aabd31603127,Sofia,Wisdom; wise one,2
